origin_planet,destination_planet,min_time_days_0_3g,max_time_days_0_3g,median_time_days_0_3g,min_time_days_1g,max_time_days_1g,median_time_days_1g,min_distance_au,max_distance_au,min_distance_km,max_distance_km,max_deltav_kms_0_3g,max_deltav_kms_1g,origin_perihelion_au,origin_aphelion_au,destination_perihelion_au,destination_aphelion_au
Mercury,Venus,2.616,5.708,2.1,1.433,3.126,1.15,0.251,1.195,37549600.0,178772000.0,1449.95,2647.24,0.307,0.467,0.718,0.728
Mercury,Earth,3.751,6.361,3.053,2.054,3.484,1.672,0.516,1.484,77193600.0,222006400.0,1615.8,2950.03,0.307,0.467,0.983,1.017
Mercury,Mars,4.992,7.626,4.522,2.734,4.177,2.477,0.914,2.133,136734400.0,319096800.0,1937.16,3536.75,0.307,0.467,1.381,1.666
Mercury,Ceres,7.539,9.691,7.136,4.13,5.308,3.909,2.0848,3.4445,311886080.0,515297200.0,2461.69,4494.4,0.307,0.467,2.5518,2.9775
Mercury,Jupiter,11.056,12.709,10.735,6.056,6.961,5.88,4.483,5.924,670656800.0,886230400.0,3228.32,5894.08,0.307,0.467,4.95,5.457
Mercury,Saturn,15.29,16.993,15.279,8.375,9.308,8.369,8.574,10.591,1282670400.0,1584413600.0,4316.56,7880.93,0.307,0.467,9.041,10.124
Mercury,Uranus,22.097,23.659,22.26,12.103,12.959,12.192,17.908,20.53,2679036800.0,3071288000.0,6009.85,10972.44,0.307,0.467,18.375,20.063
Mercury,Neptune,28.265,29.03,28.143,15.481,15.9,15.415,29.3,30.908,4383280000.0,4623836800.0,7374.03,13463.08,0.307,0.467,29.767,30.441
Venus,Earth,2.637,6.898,2.217,1.444,3.778,1.214,0.255,1.745,38148000.0,261052000.0,1752.13,3198.94,0.718,0.728,0.983,1.017
Venus,Mars,4.22,8.079,4.005,2.311,4.425,2.194,0.653,2.394,97688800.0,358142400.0,2052.26,3746.89,0.718,0.728,1.381,1.666
