Destination,Distance (ly),Acceleration Time (days),Coast Time (years),Total Time (years),Peak Velocity (%c),Delta-v (%c)
Alpha Centauri,4.37,74.7,36.1,36.5,12.0,24.1
Tau Ceti,11.9,74.7,98.6,99.0,12.0,24.1
