origin_planet,destination_planet,min_time_days_0_3g,max_time_days_0_3g,median_time_days_0_3g,min_time_days_1g,max_time_days_1g,median_time_days_1g,min_distance_au,max_distance_au,min_distance_km,max_distance_km,min_deltav_kms_0_3g,max_deltav_kms_0_3g,min_deltav_kms_1g,max_deltav_kms_1g,origin_perihelion_au,origin_aphelion_au,destination_perihelion_au,destination_aphelion_au
Mercury,Venus,2.616,5.708,2.1,1.433,3.126,1.15,0.251,1.195,37549600.0,178772000.0,664.52,1449.95,1213.24,2647.24,0.307,0.467,0.718,0.728
Mercury,Earth,3.751,6.361,3.053,2.054,3.484,1.672,0.516,1.484,77193600.0,222006400.0,952.78,1615.8,1739.54,2950.03,0.307,0.467,0.983,1.017
Mercury,Mars,4.992,7.626,4.522,2.734,4.177,2.477,0.914,2.133,136734400.0,319096800.0,1268.07,1937.16,2315.16,3536.75,0.307,0.467,1.381,1.666
Mercury,Ceres,7.539,9.691,7.136,4.13,5.308,3.909,2.0848,3.4445,311886080.0,515297200.0,1915.14,2461.69,3496.56,4494.4,0.307,0.467,2.5518,2.9775
Mercury,Jupiter,11.056,12.709,10.735,6.056,6.961,5.88,4.483,5.924,670656800.0,886230400.0,2808.37,3228.32,5127.35,5894.08,0.307,0.467,4.95,5.457
Mercury,Saturn,15.29,16.993,15.279,8.375,9.308,8.369,8.574,10.591,1282670400.0,1584413600.0,3883.84,4316.56,7090.89,7880.93,0.307,0.467,9.041,10.124
Mercury,Uranus,22.097,23.659,22.26,12.103,12.959,12.192,17.908,20.53,2679036800.0,3071288000.0,5612.97,6009.85,10247.84,10972.44,0.307,0.467,18.375,20.063
Mercury,Neptune,28.265,29.03,28.143,15.481,15.9,15.415,29.3,30.908,4383280000.0,4623836800.0,7179.65,7374.03,13108.19,13463.08,0.307,0.467,29.767,30.441
Venus,Earth,2.637,6.898,2.217,1.444,3.778,1.214,0.255,1.745,38148000.0,261052000.0,669.79,1752.13,1222.87,3198.94,0.718,0.728,0.983,1.017
Venus,Mars,4.22,8.079,4.005,2.311,4.425,2.194,0.653,2.394,97688800.0,358142400.0,1071.83,2052.26,1956.89,3746.89,0.718,0.728,1.381,1.666
Venus,Ceres,7.052,10.052,6.82,3.862,5.505,3.736,1.8238,3.7055,272840480.0,554342800.0,1791.26,2553.25,3270.37,4661.57,0.718,0.728,2.5518,2.9775
Venus,Jupiter,10.729,12.986,10.527,5.877,7.113,5.766,4.222,6.185,631611200.0,925276000.0,2725.39,3298.67,4975.86,6022.53,0.718,0.728,4.95,5.457
Venus,Saturn,15.055,17.201,15.134,8.246,9.422,8.289,8.313,10.852,1243624800.0,1623459200.0,3824.27,4369.43,6982.13,7977.44,0.718,0.728,9.041,10.124
Venus,Uranus,21.935,23.809,22.16,12.014,13.041,12.138,17.647,20.791,2639991200.0,3110333600.0,5571.92,6047.94,10172.89,11041.97,0.718,0.728,18.375,20.063
Venus,Neptune,28.138,29.152,28.064,15.412,15.967,15.372,29.039,31.169,4344234400.0,4662882400.0,7147.6,7405.1,13049.67,13519.8,0.718,0.728,29.767,30.441
Earth,Mars,3.15,8.553,7.049,1.726,4.685,3.861,0.364,2.683,54454400.0,401376800.0,800.24,2172.6,1461.03,3966.61,0.983,1.017,1.381,1.666
Earth,Ceres,6.469,10.436,8.953,3.543,5.716,4.904,1.5348,3.9945,229606080.0,597577200.0,1643.22,2650.94,3000.09,4839.94,0.983,1.017,2.5518,2.9775
Earth,Jupiter,10.355,13.286,12.02,5.672,7.277,6.583,3.933,6.474,588376800.0,968510400.0,2630.46,3374.86,4802.54,6161.62,0.983,1.017,4.95,5.457
Earth,Saturn,14.791,17.429,16.208,8.101,9.546,8.877,8.024,11.141,1200390400.0,1666693600.0,3757.21,4427.22,6859.69,8082.97,0.983,1.017,9.041,10.124
Earth,Uranus,21.755,23.974,22.907,11.916,13.131,12.547,17.358,21.08,2596756800.0,3153568000.0,5526.11,6089.82,10089.25,11118.45,0.983,1.017,18.375,20.063
Earth,Neptune,27.998,29.287,28.658,15.335,16.041,15.696,28.75,31.458,4301000000.0,4706116800.0,7111.94,7439.35,12984.58,13582.33,0.983,1.017,29.767,30.441
Mars,Ceres,4.914,11.252,5.52,2.692,6.163,3.023,0.8858,4.6435,132515680.0,694667600.0,1248.35,2858.2,2279.17,5218.33,1.381,1.666,2.5518,2.9775
Mars,Jupiter,9.463,13.936,9.736,5.183,7.633,5.332,3.284,7.123,491286400.0,1065600800.0,2403.65,3539.98,4388.44,6463.09,1.381,1.666,4.95,5.457
Mars,Saturn,14.18,17.929,14.595,7.767,9.82,7.994,7.375,11.79,1103300000.0,1763784000.0,3602.06,4554.35,6576.42,8315.07,1.381,1.666,9.041,10.124
Mars,Uranus,21.344,24.34,21.795,11.691,13.332,11.938,16.709,21.729,2499666400.0,3250658400.0,5421.81,6182.86,9898.83,11288.3,1.381,1.666,18.375,20.063
Mars,Neptune,27.68,29.587,27.777,15.161,16.206,15.214,28.101,32.107,4203909600.0,4803207200.0,7031.21,7515.7,12837.18,13721.72,1.381,1.666,29.767,30.441
Ceres,Jupiter,7.334,15.165,8.02,4.017,8.306,4.393,1.9725,8.4345,295086000.0,1261801200.0,1862.85,3852.11,3401.08,7032.97,2.5518,2.9775,4.95,5.457
Ceres,Saturn,12.858,18.9,13.51,7.043,10.352,7.4,6.0635,13.1015,907099600.0,1959984400.0,3266.11,4800.98,5963.08,8765.35,2.5518,2.9775,9.041,10.124
Ceres,Uranus,20.49,25.064,21.085,11.223,13.728,11.549,15.3975,23.0405,2303466000.0,3446858800.0,5204.69,6366.71,9502.41,11623.98,2.5518,2.9775,18.375,20.063
Ceres,Neptune,27.027,30.186,27.223,14.803,16.533,14.911,26.7895,33.4185,4007709200.0,4999407600.0,6865.18,7667.66,12534.04,13999.17,2.5518,2.9775,29.767,30.441
Jupiter,Saturn,9.885,20.611,10.873,5.414,11.289,5.955,3.584,15.581,536166400.0,2330917600.0,2511.04,5235.61,4584.51,9558.87,4.95,5.457,9.041,10.124
Jupiter,Uranus,18.767,26.378,19.5,10.279,14.448,10.681,12.918,25.52,1932532800.0,3817792000.0,4767.24,6700.54,8703.75,12233.46,4.95,5.457,18.375,20.063
Jupiter,Neptune,25.745,31.286,26.015,14.101,17.136,14.249,24.31,35.898,3636776000.0,5370340800.0,6539.76,7947.03,11939.92,14509.22,4.95,5.457,29.767,30.441
Saturn,Uranus,14.999,28.689,16.188,8.215,15.714,8.866,8.251,30.187,1234349600.0,4515975200.0,3809.98,7287.51,6956.04,13305.12,9.041,10.124,18.375,20.063
Saturn,Neptune,23.143,33.257,23.634,12.676,18.216,12.945,19.643,40.565,2938592800.0,6068524000.0,5878.59,8447.83,10732.79,15423.56,9.041,10.124,29.767,30.441
Uranus,Neptune,16.266,37.108,17.22,8.909,20.325,9.432,9.704,50.504,1451718400.0,7555398400.0,4131.85,9426.11,7543.7,17209.64,18.375,20.063,29.767,30.441
