Destination,Distance (ly),Proper Acceleration Time (days),Coordinate Acceleration Time (days),Proper Coast Time (years),Coordinate Coast Time (years),Ship Time (years),Earth Time (years),Peak Velocity (%c),Time Dilation Factor,Proper Delta-v (%c)
Alpha Centauri,4.37,74.7,75.2,36.0,36.3,36.4,36.7,12.0,1.01,24.1
Tau Ceti,11.9,74.7,75.2,98.4,99.1,98.8,99.5,12.0,1.01,24.1
